"","gutenberg_id","text","author","title"
"1",345,"                                DRACULA","Stoker, Bram","Dracula"
"2",345,"","Stoker, Bram","Dracula"
"3",345,"","Stoker, Bram","Dracula"
"4",345,"","Stoker, Bram","Dracula"
"5",345,"","Stoker, Bram","Dracula"
"6",345,"","Stoker, Bram","Dracula"
"7",345,"                                DRACULA","Stoker, Bram","Dracula"
"8",345,"","Stoker, Bram","Dracula"
"9",345,"                                  _by_","Stoker, Bram","Dracula"
"10",345,"","Stoker, Bram","Dracula"
"11",345,"                              Bram Stoker","Stoker, Bram","Dracula"
"12",345,"","Stoker, Bram","Dracula"
"13",345,"                        [Illustration: colophon]","Stoker, Bram","Dracula"
"14",345,"","Stoker, Bram","Dracula"
"15",345,"                                NEW YORK","Stoker, Bram","Dracula"
"16",345,"","Stoker, Bram","Dracula"
"17",345,"                            GROSSET & DUNLAP","Stoker, Bram","Dracula"
"18",345,"","Stoker, Bram","Dracula"
"19",345,"                              _Publishers_","Stoker, Bram","Dracula"
"20",345,"","Stoker, Bram","Dracula"
"21",345,"      Copyright, 1897, in the United States of America, according","Stoker, Bram","Dracula"
"22",345,"                   to Act of Congress, by Bram Stoker","Stoker, Bram","Dracula"
"23",345,"","Stoker, Bram","Dracula"
"24",345,"                        [_All rights reserved._]","Stoker, Bram","Dracula"
"25",345,"","Stoker, Bram","Dracula"
"26",345,"                      PRINTED IN THE UNITED STATES","Stoker, Bram","Dracula"
"27",345,"                                   AT","Stoker, Bram","Dracula"
"28",345,"               THE COUNTRY LIFE PRESS, GARDEN CITY, N.Y.","Stoker, Bram","Dracula"
"29",345,"","Stoker, Bram","Dracula"
"30",345,"","Stoker, Bram","Dracula"
"31",345,"","Stoker, Bram","Dracula"
"32",345,"","Stoker, Bram","Dracula"
"33",345,"                                   TO","Stoker, Bram","Dracula"
"34",345,"","Stoker, Bram","Dracula"
"35",345,"                             MY DEAR FRIEND","Stoker, Bram","Dracula"
"36",345,"","Stoker, Bram","Dracula"
"37",345,"                               HOMMY-BEG","Stoker, Bram","Dracula"
"38",345,"","Stoker, Bram","Dracula"
"39",345,"","Stoker, Bram","Dracula"
"40",345,"","Stoker, Bram","Dracula"
"41",345,"","Stoker, Bram","Dracula"
"42",345,"Contents","Stoker, Bram","Dracula"
"43",345,"","Stoker, Bram","Dracula"
"44",345,"CHAPTER I. Jonathan Harker’s Journal","Stoker, Bram","Dracula"
"45",345,"CHAPTER II. Jonathan Harker’s Journal","Stoker, Bram","Dracula"
"46",345,"CHAPTER III. Jonathan Harker’s Journal","Stoker, Bram","Dracula"
"47",345,"CHAPTER IV. Jonathan Harker’s Journal","Stoker, Bram","Dracula"
"48",345,"CHAPTER V. Letters—Lucy and Mina","Stoker, Bram","Dracula"
"49",345,"CHAPTER VI. Mina Murray’s Journal","Stoker, Bram","Dracula"
"50",345,"CHAPTER VII. Cutting from “The Dailygraph,” 8 August","Stoker, Bram","Dracula"
"51",345,"CHAPTER VIII. Mina Murray’s Journal","Stoker, Bram","Dracula"
"52",345,"CHAPTER IX. Mina Murray’s Journal","Stoker, Bram","Dracula"
"53",345,"CHAPTER X. Mina Murray’s Journal","Stoker, Bram","Dracula"
"54",345,"CHAPTER XI. Lucy Westenra’s Diary","Stoker, Bram","Dracula"
"55",345,"CHAPTER XII. Dr. Seward’s Diary","Stoker, Bram","Dracula"
"56",345,"CHAPTER XIII. Dr. Seward’s Diary","Stoker, Bram","Dracula"
"57",345,"CHAPTER XIV. Mina Harker’s Journal","Stoker, Bram","Dracula"
"58",345,"CHAPTER XV. Dr. Seward’s Diary","Stoker, Bram","Dracula"
"59",345,"CHAPTER XVI. Dr. Seward’s Diary","Stoker, Bram","Dracula"
"60",345,"CHAPTER XVII. Dr. Seward’s Diary","Stoker, Bram","Dracula"
"61",345,"CHAPTER XVIII. Dr. Seward’s Diary","Stoker, Bram","Dracula"
"62",345,"CHAPTER XIX. Jonathan Harker’s Journal","Stoker, Bram","Dracula"
"63",345,"CHAPTER XX. Jonathan Harker’s Journal","Stoker, Bram","Dracula"
"64",345,"CHAPTER XXI. Dr. Seward’s Diary","Stoker, Bram","Dracula"
"65",345,"CHAPTER XXII. Jonathan Harker’s Journal","Stoker, Bram","Dracula"
"66",345,"CHAPTER XXIII. Dr. Seward’s Diary","Stoker, Bram","Dracula"
"67",345,"CHAPTER XXIV. Dr. Seward’s Phonograph Diary, spoken by Van Helsing","Stoker, Bram","Dracula"
"68",345,"CHAPTER XXV. Dr. Seward’s Diary","Stoker, Bram","Dracula"
"69",345,"CHAPTER XXVI. Dr. Seward’s Diary","Stoker, Bram","Dracula"
"70",345,"CHAPTER XXVII. Mina Harker’s Journal","Stoker, Bram","Dracula"
"71",345,"","Stoker, Bram","Dracula"
"72",345,"","Stoker, Bram","Dracula"
"73",345,"","Stoker, Bram","Dracula"
"74",345,"","Stoker, Bram","Dracula"
"75",345,"DRACULA","Stoker, Bram","Dracula"
"76",345,"","Stoker, Bram","Dracula"
"77",345,"","Stoker, Bram","Dracula"
